num,birthDate,sex,fam,bru_info,bru_date,tube_info,tube_date,update
002 1480 1479 1,2020-01-29 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1480 1477 5,2020-01-29 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1479 2806 0,2020-02-11 (16개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1480 1177 6,2020-01-13 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1464 0786 8,2020-01-20 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1474 7512 2,2019-12-30 (18개월령),거세,21.05.04 (3차) 접종 후 37일 경과,음성,2019-12-26 검사일로부터 532일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1458 1718 0,2019-12-31 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1480 1594 8,2020-02-06 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 3975 5,2019-12-14 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1467 1543 2,2020-03-01 (16개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1479 3019 1,2020-02-07 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 3652 5,2019-12-03 (19개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1467 0765 8,2019-12-22 (18개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 4261 1,2019-12-31 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 4039 4,2019-12-30 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 4572 8,2020-01-28 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1458 1719 8,2019-12-30 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 4596 1,2020-01-15 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:56
002 1465 4139 7,2019-12-28 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4761 5,2020-01-04 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3932 9,2019-12-08 (19개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4158 1,2019-12-24 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 0655 8,2020-01-10 (18개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4808 9,2020-02-14 (16개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1489 6428 2,2020-03-20 (15개월령),암,21.04.27 (3차) 접종 후 44일 경과,음성,2020-08-13 검사일로부터 301일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1468 3604 3,2020-01-28 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1450 1688 0,2019-12-13 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 0304 8,2020-01-20 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4772 0,2020-02-08 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1468 3360 9,2020-03-22 (15개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4674 5,2020-01-31 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3798 7,2019-12-13 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4669 0,2020-01-03 (18개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1483 6762 8,2020-05-04 (14개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3965 9,2019-12-13 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4574 4,2020-02-01 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1463 6892 1,2020-03-17 (15개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 2960 1,2020-01-10 (18개월령),암,21.05.03 (4차) 접종 후 38일 경과,음성,2020-06-04 검사일로부터 371일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 0596 6,2020-01-30 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-16 검사일로부터 511일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1474 8937 3,2019-12-16 (18개월령),거세,21.05.04 (3차) 접종 후 37일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1495 0749 9,2020-03-16 (15개월령),거세,21.05.04 (3차) 접종 후 37일 경과,음성,2020-12-25 검사일로부터 167일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4253 1,2019-12-31 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4768 2,2020-02-04 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4128 4,2019-12-21 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4771 1,2020-02-08 (17개월령),
								
								
								    육우
								
                            ,포장처리업소가 존재하지 않습니다.,
                                
	                            
	                               미검사
	                               		
	                               			
	                               		
	                               
	                               
	                            
                            ,해당없음,해당 없,2021. 6. 10. 오전 3:15:57
002 1462 5942 4,2019-12-14 (18개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2019-12-26 검사일로부터 532일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1483 6761 0,2020-05-04 (14개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4568 9,2020-01-16 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1475 7557 2,2020-02-13 (16개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 0736 6,2020-01-18 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3779 6,2019-12-09 (19개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1453 4138 2,2020-01-11 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4571 0,2020-01-24 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4767 4,2020-01-28 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 0785 0,2020-01-17 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1496 7286 1,2019-11-30 (19개월령),거세,21.05.04 (2차) 접종 후 37일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4765 8,2020-01-23 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 3025 3,2020-01-22 (17개월령),암,21.05.03 (3차) 접종 후 38일 경과,음성,2020-07-30 검사일로부터 315일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 2976 3,2020-03-13 (15개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 0326 5,2020-01-19 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-16 검사일로부터 511일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 0763 9,2020-01-20 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3951 1,2019-12-22 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4806 4,2020-01-29 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,음성,2020-01-21 검사일로부터 506일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4094 0,2019-12-22 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4573 6,2020-01-29 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 0449 1,2020-02-01 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-16 검사일로부터 511일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57